"",,,,Since Inception,
"",Month-To-Date,Year-to-Date,,,
"",Return,Return,Cumulative (%),,Annualised (%)
xxxxPDSA,(0.46),(1.31),5.05,,3.87
Benchmark - Absolute Return 5%,0.40,1.62,6.54,,5.00
INVESTMENT INCOME,,,,N1,INTEREST INCOME,,
Interest Income,N1,"69,027.77","293,373.53",,Deposit,4.31,16.25
Net Realised Gain / Losses,N2,"80,342.34","38,850.71",,Fixed Income,"69,023.46","293,357.28"
Other Income,N3,-,285.90,,Total Interest Income,"69,027.77","293,373.53"
Unrealised Gain / Losses,N4,"(210,858.32)","(541,027.21)",,,,
"",,,,N2,NET REALISED GAIN / LOSSES,,
Total Investment Income,,"(61,488.21)","(208,517.07)",,Derivatives,"16,716.56","(70,482.32)"
EXPENSES,,,,,Disposal of bonds,"27,845.17","22,033.45"
Audit Fee,,(15.00),(15.00),,Realised foreign exchange,"35,780.61","87,299.58"
Bank Charges,,551.75,624.44,,Total Net Realised Gain / Losses,"80,342.34","38,850.71"
Custody Fee,,-,(300.63),,,,
"",,,,N3,OTHER INCOME,,
Management Fee,,"(7,640.02)","(32,377.60)",,Other Income,-,285.90
Other Expenses,,67.31,(84.82),,Total Other Income,0.00,285.90
Transaction Fee,,-,(578.27),,,,
"",,,,N4,UNREALISED GAIN / LOSSES,,
Total Expenses,,"(7,035.96)","(32,731.88)",,,,
"",,,,,Unrealised accretion / amortization of bonds,"(5,319.05)","10,347.74"
Net Profit / Loss For The Month,,"(68,524.17)","(241,248.95)",,Bonds,"(141,121.96)","(534,588.52)"
NET PROFIT AFTER REPATRIATION OF INCOME,,"(68,524.17)","(241,248.95)",,Derivatives,"8,374.92","58,223.29"
"",,,,,Foreign Exchange,"(72,792.23)","(75,009.72)"
"",,,,,Total Unrealised Gain / Losses,"(210,858.32)","(541,027.21)"
"",,,,,,Unrealised Gain / (Loss),,
"",% of Total Book Value Market ValueBook Value % of Total,,Market Value,,FX,Price,Total,% of Book
"",,,,,,,,Value
HOLDING,,,,,,,,
INVESTMENT,,,,,,,,
Fixed Income,"18,075,863.21 95.3","17,679,505.49",95.1,,"14,802.31","(411,160.03)","(396,357.72)",(2.2)
"","18,075,863.21 95.3","17,679,505.49",95.1,,"14,802.31","(411,160.03)","(396,357.72)",(2.2)
LIQUID ASSET,,,,,,,,
Cash In Hand,"658,466.87 3.5","658,466.87",3.5,,0.00,0.00,0.00,0.0
"","658,466.87 3.5","658,466.87",3.5,,0.00,0.00,0.00,0.0
SETTLEMENT ACCOUNT,,,,,,,,
Accrued Interest(FI),"219,836.60 1.2","219,751.36",1.2,,(85.24),0.00,(85.24),0.0
Fees Payables,"(7,640.02) 0.0","(7,640.02)",0.0,,0.00,0.00,0.00,0.0
FX Forward,0.00 0.0,"11,482.50",0.1,,"11,482.50",0.00,"11,482.50",0.0
Interest Receivables (FI),"4,800.00 0.0","4,800.00",0.0,,0.00,0.00,0.00,0.0
Receivables - Broker,"16,716.56 0.1","16,716.56",0.1,,0.00,0.00,0.00,0.0
"","233,713.14 1.2","245,110.40",1.3,,"11,397.26",0.00,"11,397.26",4.9
TOTAL,"18,968,043.22 100.0","18,583,082.76",100.0,,"26,199.57","(411,160.03)","(384,960.46)",(2.0)
"",,,Cost Total,%,Market,Market,%,,Unrealised Gain / (Loss),,
Stock Code Security Description,,Total Holdings,,,,,,,,,
"",,,Per Unit Book Value,BV,Price,Value,MV,Fx,Price Total,,%BV
DEBT SECURITIES,,,,,,,,,,,
CHINA,,,,,,,,,,,
BANKS,,,,,,,,,,,
Chong Hing Bank Ltd 3.876% (Call: AO3442545 (3.7%)26.07.2022),,"400,000.00","USD100.00 400,000.00",2.1%,USD96.2800,"385,120.00",2.1%,0.00,"(14,880.00) (14,880.00)",,
TOTAL BANKS,,,"400,000.00",2.1%,,"385,120.00",2.1%,0.00,"(14,880.00) (14,880.00)",,
BASIC MATERIALS,,,,,,,,,,,
Bluestar Finance Holdings Ltd 4.375% JV2490110 (0.5%)(Call: 17.12.2018),,"600,000.00","USD101.17 603,756.75",3.2%,USD100.1000,"600,600.00",3.2%,0.00,"(3,156.75) (3,156.75)",,
AL3710640 CNRC Capital Ltd 1.871% (07.12.2021),,"200,000.00","EUR101.50 251,230.61",1.3%,EUR101.5300,"245,556.60",1.3%,"(5,778.86)","104.84 (5,674.02)",,(2.3%)
TOTAL BASIC MATERIALS,,,"854,987.36",4.5%,,"846,156.60",4.6%,"(5,778.86)","(3,051.91) (8,830.77)",,
FINANCIAL SERVICES,,,,,,,,,,,
Far East Horizon Ltd 4.35% (Call: AN8403643 (3.9%)14.06.2022),,"400,000.00","USD100.00 400,000.00",2.1%,USD96.1100,"384,440.00",2.1%,0.00,"(15,560.00) (15,560.00)",,
TOTAL FINANCIAL SERVICES,,,"400,000.00",2.1%,,"384,440.00",2.1%,0.00,"(15,560.00) (15,560.00)",,
INDUSTRIALS,,,,,,,,,,,
Postal Savings Bk China Co Ltd 4.5% AP1366677 (4.0%)(Call: 27.09.2022),,"200,000.00","USD98.80 197,764.16",1.0%,USD94.9000,"189,800.00",1.0%,0.00,"(7,964.16) (7,964.16)",,
Shenzhen International Holding 3.95% AQ0758146 (4.0%)(Call: 29.11.2022),,"400,000.00","USD99.80 399,256.35",2.1%,USD95.8200,"383,280.00",2.1%,0.00,"(15,976.35) (15,976.35)",,
Tewoo Group Finance No 2 Ltd 4.5% AL6742863 (0.4%)(16.12.2019),,"200,000.00","USD100.40 200,755.04",1.1%,USD99.9700,"199,940.00",1.1%,0.00,(815.04) (815.04),,
Tewoo Group Finance No 3 Ltd 5.5% AN0866912 (2.6%)(06.04.2022),,"200,000.00","USD104.67 207,802.80",1.1%,USD101.2200,"202,440.00",1.1%,0.00,"(5,362.80) (5,362.80)",,
Weichai Int HK Energy Grp Co 3.75% AO9861714 (5.2%)(Call: 14.09.2022),,"450,000.00","USD99.33 447,189.37",2.4%,USD94.1600,"423,720.00",2.3%,0.00,"(23,469.37) (23,469.37)",,
Weichai Int HK Energy Grp Co 4.125% UV8797580 (0.3%)(30.09.2020),,"200,000.00","USD100.72 201,427.24",1.1%,USD100.4100,"200,820.00",1.1%,0.00,(607.24) (607.24),,
TOTAL INDUSTRIALS,,,"1,654,194.96",8.7%,,"1,600,000.00",8.6%,0.00,"(54,194.96) (54,194.96)",,
REAL ESTATE,,,,,,,,,,,
