Narration,TransactionType
"REDEMPTION STRUCTURED PRODUCTS Security No: 9883158 | 10.27 USDEUR BAER 18 | Nominal amount: 2,044,227.45 |  Maturity: 04.05.2018",Purchase
"PURCHASE STRUCTURED PRODUCTS Security No: 9883630 | 11.67 USDEUR BAER 18 | Nominal amount: 4,484,314.83 |  Maturity: 07.05.2018",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security No: 9885212 | 1.92 EURUSD BAER 18 | Nominal amount: 3,702,383.21 |  Maturity: 15.05.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9884928 | 3.5 EURUSD BAER 18 | Nominal amount: 7,393,961.70 |  Maturity: 14.05.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9884640 | 2.89 EURUSD BAER 18 | Nominal amount: 7,323,980.30 |  Maturity: 11.05.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9884641 | 2.89 EURUSD BAER 18 | Nominal amount: 7,363,223.11 |  Maturity: 11.05.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9884406 | 13.48 EURUSD BAER 18 | Nominal amount: 3,659,187.21 |  Maturity: 10.05.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9883156 | 8.94 EURUSD BAER 18 | Nominal amount: 3,640,554.40 |  Maturity: 04.05.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security No: 9883157 | 10.27 USDEUR BAER 18 | Nominal amount: 3,618,513.64 |  Maturity: 04.05.2018",Sale
FOREX SPOT EUR/JPY 130.1898,SpotFxOut
FOREX SPOT EUR/JPY 129.6910,SpotFxOut
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9885212 | 1.92 EURUSD BAER 18 | Nominal amount: 3,702,383.21 |  Maturity: 15.05.2018",Distribution
FOREX SPOT EUR/JPY 129.6947,SpotFxOut
"PURCHASE SHARES Security No: 1174969 | ISHS EUSTX 50 | Quantity: 100,000.00",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security No: 9885212 | 1.92 EURUSD BAER 18 | Nominal amount: 3,702,383.21 |  Maturity: 15.05.2018",SpotFxIn
"INTEREST-FIXED TERM LOAN Contract No: 3001-AA180914TG52|Interest rate: 0.610000%|Capital: 1,526,561.24|Period: 13.04.2018 - 11.05.2018|Days: 28/360",LoanCost
"REDEMPTION STRUCTURED PRODUCTS Security No: 9884928 | 3.5 EURUSD BAER 18 | Nominal amount: 7,393,961.70 |  Maturity: 14.05.2018",SpotFxIn
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9884928 | 3.5 EURUSD BAER 18 | Nominal amount: 7,393,961.70 |  Maturity: 14.05.2018",Distribution
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9884640 | 2.89 EURUSD BAER 18 | Nominal amount: 7,323,980.30 |  Maturity: 11.05.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9884640 | 2.89 EURUSD BAER 18 | Nominal amount: 7,323,980.30 |  Maturity: 11.05.2018",SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security No: 9884641 | 2.89 EURUSD BAER 18 | Nominal amount: 7,363,223.11 |  Maturity: 11.05.2018",SpotFxIn
"CAPITAL GAIN STRUCTURED PRODUCTS Security No: 9884641 | 2.89 EURUSD BAER 18 | Nominal amount: 7,363,223.11 |  Maturity: 11.05.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security No: 9884406 | 13.48 EURUSD BAER 18 | Nominal amount: 3,659,187.21 |  Maturity: 10.05.2018",SpotFxIn
